indice_tiempo,tipo_cambio_real_estados_unidos
2011-03-14,93.8424427208342
2011-03-15,93.89502652658882
2011-03-16,93.92423538005421
2011-03-17,93.88362830017904
2011-03-18,93.81980455032448
2011-03-19,93.75602418898312
2011-03-20,93.6922871866587
2011-03-21,93.67495577855131
2011-03-22,93.6344392613598
2011-03-23,93.57078491461813
2011-03-24,93.5071738412264
2011-03-25,93.44360601176666
2011-03-26,93.38008139684092
2011-03-27,93.31659996707113
2011-03-28,93.29930378201227
2011-03-29,93.30504334735086
2011-03-30,93.31073199050707
2011-03-31,93.33939380218888
2011-04-01,93.2742229535817
2011-04-02,93.20909760815736
2011-04-03,93.144017734145
2011-04-04,93.03306372244022
2011-04-05,93.01399427338323
2011-04-06,92.9490506232028
2011-04-07,92.86124058784416
2011-04-08,92.72771639505837
2011-04-09,92.66297262803025
2011-04-10,92.59827406599078
2011-04-11,92.53362067737724
2011-04-12,92.58317170525466
2011-04-13,92.58697660153508
2011-04-14,92.72753094815955
2011-04-15,92.73113950189202
2011-04-16,92.6663933448036
2011-04-17,92.60169239437269
2011-04-18,92.62798210956993
2011-04-19,92.60874897396285
2011-04-20,92.612202173689
2011-04-21,92.5475390602791
2011-04-22,92.48292109554441
2011-04-23,92.41834824796149
2011-04-24,92.35382048602892
2011-04-25,92.35721422184044
2011-04-26,92.2927291445258
2011-04-27,92.29607078370914
2011-04-28,92.11873778755024
2011-04-29,92.0544192177622
2011-04-30,91.99014555608427
2011-05-01,91.94838255221829
2011-05-02,91.88411237162964
2011-05-03,91.81988159607643
2011-05-04,91.80070157913742
2011-05-05,91.78152005236264
2011-05-06,91.76233702107609
2011-05-07,91.7206774409918
2011-05-08,91.67903677412035
2011-05-09,91.65986965902347
2011-05-10,91.61825659853982
2011-05-11,91.59909669336109
2011-05-12,91.53508714527531
2011-05-13,91.51594463312391
2011-05-14,91.474396913785
2011-05-15,91.43286805687481
2011-05-16,91.41374143811932
2011-05-17,91.39461334081079
2011-05-18,91.37548377023394
2011-05-19,91.3563527316689
2011-05-20,91.29253470190304
2011-05-21,91.25108840940466
2011-05-22,91.20966093328778
2011-05-23,91.19056461260284
2011-05-24,91.12686239603222
2011-05-25,91.08549131782014
2011-05-26,91.04413902184272
2011-05-27,91.00280549957294
2011-05-28,90.96149074248764
2011-05-29,90.92019474206751
2011-05-30,90.9234005624794
2011-05-31,90.92658473240448
2011-06-01,90.85908002073029
2011-06-02,90.83603859579272
2011-06-03,90.7907993458309
2011-06-04,90.74558262646124
2011-06-05,90.70038842646277
2011-06-06,90.69954691395245
2011-06-07,90.65437564120991
2011-06-08,90.60922686520469
2011-06-09,90.58623256412042
2011-06-10,90.51899675859535
2011-06-11,90.4739154055998
2011-06-12,90.4288565045587
2011-06-13,90.38382004429012
2011-06-14,90.36088294568388
2011-06-15,90.33794627546808
2011-06-16,90.29295509139877
2011-06-17,90.2700302778146
2011-06-18,90.22507291808243
2011-06-19,90.18013794855206
2011-06-20,90.13522535807242
2011-06-21,90.15633538101858
2011-06-22,90.1334237700746
2011-06-23,90.08853444474865
2011-06-24,90.06563470371769
2011-06-25,90.02077913951301
2011-06-26,89.97594591481274
2011-06-27,89.97500386484155
2011-06-28,89.97404043595398
2011-06-29,90.06070597179216
2011-06-30,90.01585286225351
2011-07-01,89.97338005289518
2011-07-02,89.93092728377951
2011-07-03,89.88849454545073
2011-07-04,89.95538363116867
2011-07-05,89.93478939944592
2011-07-06,89.93603431153892
2011-07-07,89.95908745820515
2011-07-08,89.91664143286434
2011-07-09,89.87421543512853
2011-07-10,89.83180945554797
2011-07-11,89.81121174565386
2011-07-12,89.76883549354467
2011-07-13,89.72647923611883
2011-07-14,89.68414296394218
2011-07-15,89.64182666758488
2011-07-16,89.59953033762163
2011-07-17,89.55725396463149
2011-07-18,89.6452959344517
2011-07-19,89.77664718842735
2011-07-20,89.73428724515492
