indice_tiempo,tipo_cambio_real_multilateral_actual
2008-02-01,160.01414097437515
2008-02-02,159.9374775165207
2008-02-03,159.8608507884561
2008-02-04,160.10020807549498
2008-02-05,159.15607186293832
2008-02-06,159.66433147939077
2008-02-07,158.93136035412658
2008-02-08,158.7988620255129
2008-02-09,158.7227808129895
2008-02-10,158.64673605129963
2008-02-11,158.66980905906917
2008-02-12,159.160562327142
2008-02-13,158.49638291661597
2008-02-14,158.6958501328804
2008-02-15,158.42300045497558
2008-02-16,158.3470993193347
2008-02-17,158.27123454825178
2008-02-18,158.18794113400497
2008-02-19,158.99744715575167
2008-02-20,158.361789579227
2008-02-21,159.64021962035298
2008-02-22,159.84707578737718
2008-02-23,159.77049237116688
2008-02-24,159.693945646398
2008-02-25,159.72213799452697
2008-02-26,160.60621558050246
2008-02-27,161.89609781112856
2008-02-28,161.6758240537708
2008-02-29,161.67350626983958
2008-03-01,161.48487254305462
2008-03-02,161.29645890602768
2008-03-03,161.3690764360766
2008-03-04,160.84301824038562
2008-03-05,161.3494934415807
2008-03-06,161.38977130256873
2008-03-07,160.68672352762061
2008-03-08,160.49916120976332
2008-03-09,160.31181782488503
2008-03-10,159.89736024762396
2008-03-11,159.4655601068816
2008-03-12,160.51153192169858
2008-03-13,159.6356917599087
2008-03-14,159.192477724949
2008-03-15,159.00665957238454
2008-03-16,158.8210583169142
2008-03-17,158.7171441528986
2008-03-18,159.66296042267558
2008-03-19,158.92103696910962
2008-03-20,158.73553565701718
2008-03-21,158.5502508721853
2008-03-22,158.36518236187163
2008-03-23,158.1803298736286
2008-03-24,157.99569315530363
2008-03-25,156.87710581568632
2008-03-26,157.75741309273718
2008-03-27,157.53500463139682
2008-03-28,156.78516521965005
2008-03-29,156.60215701369088
2008-03-30,156.41936242490272
2008-03-31,156.56244215900284
2008-04-01,156.0125192698876
2008-04-02,155.88007115919942
2008-04-03,156.5552375013041
2008-04-04,156.98191714508826
2008-04-05,156.84864605610522
2008-04-06,156.71548810870874
2008-04-07,156.66616088293372
2008-04-08,156.45038341692302
2008-04-09,157.0603357377082
2008-04-10,156.82003353332263
2008-04-11,156.184510068244
2008-04-12,156.05191594455377
2008-04-13,155.91943438773478
2008-04-14,155.9118550837611
2008-04-15,156.03759287690397
2008-04-16,157.21470053485226
2008-04-17,157.38549771838925
2008-04-18,156.54784330951009
2008-04-19,156.41494073107796
2008-04-20,156.2821509813823
2008-04-21,156.9829999310007
2008-04-22,157.6504747421625
2008-04-23,157.3393575926042
2008-04-24,156.12663874922697
2008-04-25,155.34441080362637
2008-04-26,155.21252988911257
2008-04-27,155.08076093598532
2008-04-28,154.50011000920168
2008-04-29,152.96740121594382
2008-04-30,153.16945900901646
2008-05-01,153.19016889988248
